num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
49,0.4803026341575076,-0.027489062,3,"(1, 2)",10,16,6
59,0.40672147388799856,-0.03077636,3,"(1, 2)",13,4,2
50,0.4121489141969404,-0.02620767,3,"(1, 2)",13,4,6
49,0.37745840547955684,-0.025418751,3,"(1, 2)",13,8,2
38,0.41064041287158265,-0.022971176,3,"(1, 2)",13,8,6
49,0.4103431748914702,-0.02630116,3,"(1, 2)",13,12,2
36,0.46147508837910955,-0.021438368,3,"(1, 2)",13,12,6
3,0.41687216946637307,-0.00013266546,3,"(1, 2)",13,16,2
34,0.43740571868921707,-0.020073872,3,"(1, 2)",13,16,6
49,0.423936683073637,-0.030724142,3,"(1, 2)",15,4,2
38,0.39902155662297645,-0.028405514,3,"(1, 2)",15,4,6
36,0.40327562596903044,-0.02311376,3,"(1, 2)",15,8,2
36,0.41106912152160563,-0.020984642,3,"(1, 2)",15,8,6
3,0.6129828977209163,-0.0028704794,3,"(1, 2)",15,12,2
31,0.4338278551087149,-0.021042721,3,"(1, 2)",15,12,6
3,0.41311844761466626,0.0003423886,3,"(1, 2)",15,16,2
30,0.4229412987344437,-0.021601524,3,"(1, 2)",15,16,6
31,0.42021154646585673,-0.024445325,3,"(1, 2)",18,4,2
29,0.40860037793770104,-0.024617309,3,"(1, 2)",18,4,6
8,0.49982945094739495,-0.030309785,3,"(1, 2)",18,8,2
27,0.4209318532763131,-0.02437006,3,"(1, 2)",18,8,6
10,0.4159851703380754,-0.030120099,3,"(1, 2)",18,12,2
24,0.40709622676826673,-0.021280251,3,"(1, 2)",18,12,6
3,0.4336225481548135,0.0008728472,3,"(1, 2)",18,16,2
26,0.4199529385327422,-0.020737467,3,"(1, 2)",18,16,6
4,0.49862097418798634,-0.014566692,3,"(1, 2)",20,4,2
20,0.3963642442520007,-0.020247424,3,"(1, 2)",20,4,6
8,0.4411770238420747,-0.031290736,3,"(1, 2)",20,8,2
25,0.4363322874845688,-0.020424122,3,"(1, 2)",20,8,6
25,0.42752657352818313,-0.024553286,3,"(1, 2)",20,12,2
24,0.4179567687951806,-0.019708756,3,"(1, 2)",20,12,6
6,0.4874447003962416,-0.02922493,3,"(1, 2)",20,16,2
23,0.4172712066414263,-0.016626295,3,"(1, 2)",20,16,6
3,0.5191522055161565,-0.011506165,4,"(1, 1)",10,4,2
70,0.38073176585560453,-0.031564318,4,"(1, 1)",10,4,6
62,0.3919535585411112,-0.03399236,4,"(1, 1)",10,8,2
55,0.4021176014365422,-0.022890752,4,"(1, 1)",10,8,6
58,0.40961181432197036,-0.024357237,4,"(1, 1)",10,12,2
49,0.40895868891909987,-0.023622993,4,"(1, 1)",10,12,6
62,0.39594458817090245,-0.032210656,4,"(1, 1)",10,16,2
40,0.40164856691561324,-0.018642005,4,"(1, 1)",10,16,6
43,0.42134787705917653,-0.030690992,4,"(1, 1)",13,4,2
41,0.3817905286464997,-0.033325955,4,"(1, 1)",13,4,6
40,0.40435615767803795,-0.022876227,4,"(1, 1)",13,8,2
36,0.42572065812077237,-0.014405173,4,"(1, 1)",13,8,6
46,0.4040021772819934,-0.022196932,4,"(1, 1)",13,12,2
37,0.42161297247879265,-0.01835403,4,"(1, 1)",13,12,6
11,0.4605579900760516,-0.035339028,4,"(1, 1)",13,16,2
37,0.4167035101387088,-0.021290256,4,"(1, 1)",13,16,6
3,0.41071457923120125,0.0002194912,4,"(1, 1)",15,4,2
36,0.387171535195045,-0.03172968,4,"(1, 1)",15,4,6
35,0.40714799585736755,-0.028171988,4,"(1, 1)",15,8,2
31,0.3948131254651379,-0.016757509,4,"(1, 1)",15,8,6
3,0.38164042516485625,0.0020352595,4,"(1, 1)",15,12,2
30,0.4002603489304917,-0.020046182,4,"(1, 1)",15,12,6
10,0.45016356541192176,-0.030548817,4,"(1, 1)",15,16,2
33,0.39780930550342786,-0.02597683,4,"(1, 1)",15,16,6
3,0.3643122439489901,-0.00097050733,4,"(1, 1)",18,4,2
21,0.39438405480072397,-0.022627378,4,"(1, 1)",18,4,6
30,0.4092929830749787,-0.02745456,4,"(1, 1)",18,8,2
25,0.4196375959103802,-0.0194604,4,"(1, 1)",18,8,6
3,0.4160733912257261,0.0028333226,4,"(1, 1)",18,12,2
25,0.4341235936280094,-0.019485373,4,"(1, 1)",18,12,6
30,0.40823856556371785,-0.02465861,4,"(1, 1)",18,16,2
29,0.3995687846738535,-0.020575535,4,"(1, 1)",18,16,6
3,0.36506638982823564,-0.004260279,4,"(1, 1)",20,4,2
22,0.40396302437181847,-0.021901965,4,"(1, 1)",20,4,6
4,0.39525639424332104,-0.0022271124,4,"(1, 1)",20,8,2
24,0.41545355375919524,-0.017834108,4,"(1, 1)",20,8,6
3,0.41510685625644506,0.0026965288,4,"(1, 1)",20,12,2
25,0.4101451610590325,-0.023458514,4,"(1, 1)",20,12,6
25,0.4243041391510859,-0.029158201,4,"(1, 1)",20,16,2
25,0.440865497235867,-0.017826114,4,"(1, 1)",20,16,6
3,0.6594201280351281,-0.011506165,4,"(1, 2)",10,4,2
70,0.432103573882504,-0.031564318,4,"(1, 2)",10,4,6
62,0.4271254375205092,-0.03399236,4,"(1, 2)",10,8,2
55,0.42610886532996706,-0.022890752,4,"(1, 2)",10,8,6
58,0.4431774783701408,-0.024357237,4,"(1, 2)",10,12,2
49,0.44248992709614754,-0.023622993,4,"(1, 2)",10,12,6
62,0.4080315918085676,-0.032210656,4,"(1, 2)",10,16,2
40,0.4308702731900801,-0.018642005,4,"(1, 2)",10,16,6
43,0.46833652651164115,-0.030690992,4,"(1, 2)",13,4,2
41,0.424281302356095,-0.033325955,4,"(1, 2)",13,4,6
40,0.43485402946388224,-0.022876227,4,"(1, 2)",13,8,2
